Chinese,English,Frequency Count
看着,Look at,19249
宝贝,baby,19208
每个,Each,19176
怎么回事,what happened,19113
個,indivual,19106
其实,actually,19073
漂亮,pretty,19069
黑体,Black body,19019
這樣,so,18925
车,car,18851
人们,people,18560
真正,real,18550
甚至,even,18542
那边,there,18527
弄,alley,18497
开,open,18483
不好,not good,18386
喔,oh,18228
回,Return,18149
进来,Come in,18144
裏,inside,17945
夫人,lady,17915
之,Of,17902
ぃ,Bleak,17778
愿意,willing,17725
麻烦,trouble,17699
睡,sleep,17644
哇,Wow,17641
就要,To,17547
打算,Intend,17525
完,over,17502
故事,story,17449
一种,A sort of,17433
害怕,Fear,17332
救,save,17299
手,hand,17286
房间,Room,17234
由,Depend on,17218
後,back,17192
那儿,there,17180
衣服,clothing,17176
枪,gun,17168
母亲,Mother,17158
另,Other,17067
下来,Come down,17025
听说,It is said that,17007
不了,Be unable to,16969
注意,Notice,16962
改变,Change,16916
这次,this time,16841
這是,This is,16838
没关系,It doesn't matter,16619
接受,accept,16528
妻子,wife,16483
老,old,16348
失去,lose,16298
回到,Return,16270
們,People,16244
以后,after,16207
话,talk,16044
是否,whether,16033
疯,Crazy,15996
生命,life,15984
她们,they,15939
忙,busy,15931
进去,Go in,15918
抓,Grasp,15901
女士,Miss,15858
原因,reason,15775
刚才,Just now,15711
保护,Protect,15705
是因为,Because of,15697
选择,choose,15677
妳,you,15676
几个,several,15669
笑,laugh,15664
关系,relation,15628
从来,Never,15598
他会,He can,15547
当时,then,15505
出现,Appear,15480
结婚,marry,15436
些,some,15416
至少,At least,15397
还要,Still,15387
挺,quite,15305
成功,success,15300
奇怪,strangeness,15274
虽然,Although,15248
忘,forget,15239
太好了,Very good,15230
身上,On the body,15206
或许,perhaps,15103
讲,speak,15099
你們,you,15091
岁,age,15080
有个,is having a,14999
保证,ensure,14953
外面,Outside,14930
丈夫,husband,14911
连,even,14881
国家,nation,14868
整个,entire,14843
特别,special,14713
那种,That kind,14703
不同,different,14680
著,Be,14630
很快,soon,14613
变成,become,14586
够,enough,14513
难道,Be,14486
学校,School,14485
一件,One piece,14427
样子,Look,14382
倒,fall,14318
电影,Movie,14316
谈谈,Talk,14278
危险,Danger,14214
开心,happy,14205
别的,Other,14203
这件,this,14195
才能,Talent,14189
闭嘴,Shut up,14116
正,just,14078
进行,conduct,14067
照片,photo,14032
話,talk,14026
刚刚,just,14014
而已,Just,13981
完成,Finish,13961
誰,who,13910
ﺎ,Bleak,13900
方式,Way,13892
做到,Achieve,13867
爸,dad,13851
因為,because,13779
声音,sound,13764
第一次,first,13761
看来,Seem,13757
只能,Only,13753
現在,Now,13748
太太,Mrs,13739
下去,Go on,13701
绝对,absolute,13694
处理,deal with,13648
欢迎,welcome,13646
眼睛,Eye,13633
通过,pass,13622
行动,action,13616
啥,What,13610
感到,feel,13585
最近,recent,13574
聽,listen,13572
各位,Everyone,13373
这边,Here,13334
待,treat,13330
掉,Lose,13302
不好意思,Excuse me,13277
猜,Guess,13205
使,make,13198
作为,Be,13166
于,At,13164
狗,dog,13101
容易,easy,13098
沒有,No,13084
直到,until,13072
求,beg,13007
比赛,Contest,12978
像是,Like,12929
麽,What's wrong?,12918
從,from,12889
拉,pull,12869
拍,shoot,12859
更好,better,12856
曾,ever,12776
有趣,interesting,12732
就算,Even,12729
活着,Alive,12644
不會,Won't,12635
ﻟ,Bleak,12608
努力,effort,12604
帮忙,help,12603
留下,Leave,12597
同意,agree,12596
参加,join,12581
赢,win,12509
死亡,die,12478
每,Every,12476
上面,above,12451
结果,result,12437
消息,information,12436
要求,Require,12421
理解,understand,12391
曾经,once,12376
打开,Open,12358
收到,receive,12303
照顾,take care of,12302
人类,Humanity,12254
主意,idea,12249
保持,Keep,12228
成,become,12219
杰克,Jack,12213
存在,exist,12210
进,Enter,12148
高,high,12148
晚安,Good night,12142
确实,really,12130
全部,all,12111
靠,Depend on,12096
呆,stay,12073
起,rise,12073
謝謝,Thanks,12037
讨厌,Hate,12017
俩,both,12012
硂,Bleak,11983
突然,Sudden,11978
多久,how long,11922
老婆,Wife,11908
不再,no longer,11907
任何人,anyone,11846
开玩笑,joke,11833
放在,Put in,11830
τ,bleak,11827
那個,that,11822
进入,Enter,11815
父母,parents,11806
总统,president,11765
伤害,harm,11740
時候,when,11718
回答,answer,11714
一位,One,11706
三个,Three,11701
所有人,Owner,11686
老师,teacher,11647
早,morning,11630
除了,Apart from,11587
派,group,11563
咱们,we,11553
自由,free,11535
可爱,cute,11532
日,day,11520
抓住,catch,11512
路,road,11493
谈,talk,11480
简单,Simple,11450
身体,Body,11444
想法,idea,11444
早上,Morning,11430
這麼,so,11418
ﺍ,Bleak,11411
能够,were able,11408
昨晚,last night,11376
哥哥,elder brother,11336
我爱你,I love you,11324
跳,Jump,11318
秘密,secret,11306
休息,rest,11286
战争,war,11237
其中,in,11221
内,Inside,11198
医院,Hospital,11180
每天,every day,11167
之间,between,11133
大概,perhaps,11112
控制,control,11096
刚,Just,11064
小孩,Child,11047
带来,bring,11037
停止,stop,11019
因此,therefore,10993
花,flower,10968
证明,prove,10965
约翰,John,10953
飞机,airplane,10927
替,for,10892
解释,explain,10884
律师,lawyer,10850
终于,finally,10832
耶,yeah,10824
翻译,translate,10800
调查,investigation,10798
告訴,Tell,10795
为何,Why,10790
留在,Stay,10790
糟糕,Oops,10789
任务,Task,10784
武器,arms,10777
家里,Family,10736
头,head,10733
来自,From,10728
后面,later,10717
小子,Little boy,10711
来到,come,10687
解决,solve,10671
其他人,other people,10656
家人,family,10610
坐下,sit down,10592
怕,Afraid,10436
直接,direct,10401
办公室,office,10400
停,stop,10385
放弃,give up,10365
鬼,ghost,10351
別,Don't,10349
加油,come on,10326
方法,method,10285
游戏,game,10271
即使,even though,10244
本,Book,10179
年轻,young,10155
大人,grown ups,10154
使用,use,10152
卖,Sell,10139
老板,boss,10128
水,water,10119
想想,Think about,10110
坐在,Sit in,10103
目标,Target,10086
变得,Become,10053
可怕,horrible,10049
拿到,Get,10038
考虑,consider,9989
个人,personal,9988
开枪,shot,9983
哭,cry,9962
睡觉,sleep,9920
請,please,9917
分钟,minute,9914
想到,think,9901
等待,wait,9865
音乐,music,9858
再说,To say,9855
聪明,clever,9807
姑娘,girl,9782
地球,Earth,9779
感谢,grateful,9755
命令,Order,9746
阻止,Prevent,9718
一只,One,9712
消失,disappear,9695
喜歡,like,9675
心,Heart,9662
第,First,9658
冷静,calm,9657
似乎,seem,9654
联系,connect,9637
家庭,family,9624
痛苦,pain,9617
城市,City,9606
力量,strength,9584
对于,for,9573
未来,future,9572
男孩,boy,9571
三,three,9565
博士,PhD,9538
姐姐,elder sister,9531
疯狂,crazy,9504
报告,Report,9496
放下,lay down,9468
昨天,yesterday,9454
那天,That day,9418
還有,besides,9400
完美,Perfect,9385
答应,promise,9366
证据,evidence,9337
本来,originally,9324
负责,Responsible,9319
检查,examine,9309
見,See,9291
已經,already,9284
一条,One,9277
厉害,sharp,9218
拥有,have,9212
正常,normal,9210
并且,and,9209
否则,otherwise,9190
該,Should,9175
以及,as well as,9152
重新,again,9151
忘记,forget,9136
这位,this,9110
研究,Research,9106
附近,nearby,9088
不然,otherwise,9080
太棒了,marvelous,9076
很棒,great,9070
方正,Square,9061
字幕,subtitle,9035
脸,Face,9028
者,By,9006
加入,join in,9001
於,At,8951
唱,Sing,8934
反正,Anyway,8927
不该,Not,8927
政府,government,8908
快乐,hapiness,8904
身边,Beside,8875
遇到,meet,8873
這裡,here,8854
伟大,great,8835
咖啡,coffee,8831
接,catch,8760
仍然,still,8755
门,Door,8754
开车,drive,8746
代表,represent,8730
陪,accompany,8720
若,like,8704
尸体,Corpse,8674
比较,Compare,8668
一年,One year,8636
紧张,nervous,8619
监狱,prison,8605
位置,Location,8592
随便,casual,8571
偷,steal,8570
安排,arrange,8561
錢,money,8553
表演,Performance,8547
从没,Never,8544
除非,unless,8535
屁股,butt,8502
這些,These,8493
酒,liquor,8482
恩,kindness,8482
老兄,Man,8473
支持,support,8471
必要,necessary,8467
人生,Life,8458
正确,correct,8454
跟着,Follow,8433
杀死,Kill,8431
交给,Give to,8419
叔叔,uncle,8418
還是,still,8415
食物,food,8401
事实,fact,8394
简直,simply,8389
安静,Quiet,8375
离,Leave,8371
一场,One game,8369
妹妹,younger sister,8319
斯,San,8299
美丽,beauty,8297
再次,again,8287
案子,case,8278
下面,under,8278
不够,not enough,8207
哈,ha,8196
可怜,Pitiful,8177
教,teach,8174
殺,kill,8114
首先,first,8076
另外,in addition,8069
提供,supply,8065
记住,remember,8060
听见,hear,8048
信,letter,8045
国王,king,8039
面前,before,8026
几乎,almost,7999
日子,day,7988
那麼,So,7979
舒服,Comfortable,7967
原来,turn out to be,7963
再也,Voyage,7959
操,Hold,7948
纽约,New York,7946
早就,Long time,7937
逼,force,7933
有关,related,7907
放开,open,7893
信息,information,7890
星期,Week,7842
不得不,have to,7824
发誓,swear,7803
钥匙,key,7796
错误,mistake,7791
放松,Relax,7786
约会,Dating,7785
船,Boat,7779
打扰,disturb,7777
女,female,7776
手机,cell phone,7764
二,two,7751
很大,Great,7721
到处,everywhere,7708
攻击,attack,7707
一份,One,7705
第一,First,7696
建议,suggestion,7695
日本,Japan,7683
理由,reason,7676
事实上,In fact,7675
一樣,Same,7663
阿,San,7657
跳舞,Dance,7654
生气,angry,7653
久,Long,7642
试试,Try,7640
信任,trust,7615
此,this,7594
看过,Seen,7593
差不多,almost,7577
原谅,forgive,7570
神,god,7564
经常,often,7562
的确,indeed,7560
ㄓ,Bleak,7555
之一,one,7549
幸福,happiness,7548
哎,Why,7542
便,Be,7514
马,horse,7513
算,Calculate,7513
吃饭,Have a meal,7511
璶,Bleak,7509
正是,Exactly,7507
不必,No need,7506
最大,maximum,7490
幸运,Lucky,7481
丢,leave,7479
我家,my home,7475
問題,question,7474
长,long,7472
東西,thing,7464
而是,But,7461
住手,stop,7455
动物,animal,7447
弟弟,younger brother,7435
道歉,Apologize,7434
严重,serious,7421
人家,Family,7413
坚持,persist in,7412
想象,Imagine,7411
按,according to,7396
礼物,Gift,7386
每次,every time,7384
将军,General,7377
剩下,remain,7345
有事,Have something to do with,7343
老爸,Dad,7336
幫,help,7324
系统,system,7318
全都,all,7314
组织,organize,7310
我會,I can,7293
敌人,enemy,7292
看上去,Look,7290
應該,should,7288
老天,God,7276
ê,bleak,7269
认真,serious,7265
分,point,7245
书,Book,7222
往,Past,7217
关心,care,7207
坏,bad,7205
骗,cheat,7203
中国,China,7199
生意,Business,7187
上去,Go up,7173
值得,worth,7170
搞定,Do,7170
寻找,Look for,7168
派对,Party,7167
许多,many,7161
学生,student,7142
查理,Charlie,7141
下次,next time,7136
通知,notify,7134
救命,Help,7133
表现,Performance,7130
利用,use,7129
受伤,Injuried,7120
后来,later,7115
早上好,Good morning,7108
精神,Spirit,7103
居然,Actually,7098
受到,Suffer,7098
大学,University,7085
那时,At that time,7083
既然,now that,7077
几天,Several days,7076
有时,sometimes,7075
米,rice,7064
总,total,7055
一张,One,7053
第一个,First,7048
真相,the truth,7043
恨,hatred,7033
卡,Card,7019
不知,Unknown,7016
远,Far,7005
警官,police officer,6998
属于,belong,6975
什,Varied,6954
い,い,6951
可不是,Not,6949
怪,Strange,6947
一名,One,6937
怀疑,Suspect,6934
笨蛋,Fool,6930
战斗,fighting,6915
承认,admit,6914
馬,horse,6913
法律,law,6910
别说,Don't say,6906
简体,Simplified,6900
记录,Record,6882
见面,Meet,6881
能力,ability,6881
足够,enough,6869
帶,bring,6865
瞧,Look at,6857
同样,same,6850
白痴,idiot,6847
拒绝,reject,6835
影响,Influence,6829
画,painting,6820
其,That,6817
德,Virtue,6811
交易,trade,6811
回來,return,6797
别动,do not move,6788
管,Tube,6787
开门,Open the door,6774
意味着,mean,6770
或是,Or,6766
美,beautiful,6757
教授,professor,6756
享受,enjoy,6749
時間,time,6744
喝酒,drink wine,6743
好多,many,6743
接下来,Next,6729
開始,start,6726
腿,leg,6724
走开,Go away,6703
合作,cooperate,6701
女朋友,girlfriend,6691
好吃,tasty,6683
事件,event,6679
出发,Set off,6673
酒吧,bar,6669
多么,how,6668
不如,Not as good as,6668
指,refer to,6665
客人,guest,6656
换,Change,6654
梦想,dream,6654
英雄,hero,6644
傻,stupid,6604
血,Blood,6598
扔,Throw,6587
藏,Tibetan,6578
杀人,kill,6563
一会儿,For a while,6563
沒事,fine,6555
变,Change,6540
约,about,6539
行为,Behavior,6538
头发,hair,6523
适合,Suitable,6510
穦,Bleak,6505
恭喜,Congratulations,6494
上次,Last time,6489
地狱,hell,6481
不在乎,not give a damn about,6475
生,born,6472
哪个,Which one,6467
实在,really,6467
路上,On the way,6462
接近,near,6457
不准,Be unbridled,6456
银行,bank,6456
碰,bump,6454
介绍,introduce,6453
一旦,once,6448
味道,smell,6448
实际上,In fact,6445
感受,Feel,6437
身份,identity,6432
意外,Accident,6416
一般,generally,6415
吓,scare,6408
停下,Stop,6399
意义,significance,6397
拜,bye,6396
来看,Look at,6392
婊子,Bitch,6391
梦,Dream,6390
学习,study,6385
同时,at the same time,6383
不起,Be unable to afford,6381
呼吸,breathe,6380
是从,From,6370
经历,experience,6367
凶手,murderer,6362
目前,at present,6361
威胁,threaten,6359
没法,Not,6355
有时候,sometimes,6354
英国,U.K.,6336
男,male,6331
什么样,What,6322
老大,Boss,6320
受,by,6309
愚蠢,madness,6301
算了,never mind,6295
真实,reality,6291
婚礼,wedding,6270
在家,at home,6268
允许,allow,6262
军队,army,6256
电视,television,6253
一家,Family,6236
灵魂,soul,6232
谢,Thanks,6223
如,like,6212
道,road,6206
究竟,after all,6201
戴,Wear,6199
无论,regardless,6182
谋杀,murder,6176
立刻,immediately,6165
特,special,6158
躺,lie,6158
试图,attempt,6150
客气,polite,6132
文件,document,6132
敢,dare,6118
慢慢,Slowly,6112
ﻴ,Bleak,6111
前面,Front,6110
奶奶,grandmother,6107
黑,black,6103
答案,Answer,6091
棒,Great,6087
新闻,news,6086
多谢,Thank you,6081
可不,Not,6065
ぐ,Bleak,6059
長,long,6046
欠,owe,6027
一遍,Once again,6017
达,Reach,6014
权利,right,6013
做出,Make,6006
历史,history,5992
挂,hang,5992
好了吗,Ok,5980
意识,consciousness,5977
追,Chase,5972
下午,afternoon,5971
尝试,try,5962
乔治,George,5957
经过,go through,5951
获得,get,5951
仍,still,5948
饿,Hungry,5946
ﺃ,Bleak,5937
部分,part,5935
活,live,5931
當然,certainly,5926
队,Team,5925
带走,take away,5925
竟然,it turns out,5903
ﺮ,Bleak,5896
失败,fail,5888
一生,lifetime,5886
黑暗,dark,5883
中心,center,5875
麦克,Microphone,5873
警告,warn,5868
大哥,Big brother,5852
显然,Obvious,5851
碞,cliff,5849
根据,according to,5848
动,move,5837
不過,but,5836
自杀,suicide,5829
这事,This issue,5819
训练,train,5809
万,Ten thousand,5808
令人,Exciting,5795
ﻣ,Bleak,5791
难,Disaster,5788
街,street,5777
越,cross,5775
搬,move,5772
好人,Good person,5769
少,few,5760
迟到,be late,5755
恐怕,I am afraid,5741
一杯,A cup,5741
病,sick,5734
没用,Useless,5729
讨论,discuss,5714
爆炸,explode,5713
因,because,5705
美好,good,5703
放心,rest assured,5677
长大,grow up,5676
微软,Microsoft,5668
令,make,5666
没人,no one,5666
辛苦,Hard,5661
尽管,although,5659
美元,Dollar,5652
吻,kiss,5640
收拾,tidy,5612
包括,include,5608
弗兰克,Frank,5599
面对,face,5598
跟我来,follow me,5598
公寓,apartment,5595
雅黑,Elegant black,5589
邀请,invite,5584
求求,please,5576
生日,Birthday,5575
留,Keep,5564
法官,Judge,5560
方向,direction,5558
一块,piece,5555
法国,France,5547
一半,half,5544
借,borrow,5533
确认,confirm,5519
玩笑,joke,5517
躲,hide,5514
金,gold,5504
病人,patient,5500
目的,Purpose,5497
公主,Princess,5496
一会,a while,5490
我刚,I just,5489
最终,finally,5481
士兵,Soldier,5467
怎,How,5465
其它,other,5463
反对,be opposed to,5462
傻瓜,fool,5460
晚,Night,5455
拿走,Take away,5449
那家伙,That rascal,5447
对方,other side,5442
警方,police,5440
假,Fake,5433
次,Second-rate,5433
不介意,do not mind,5427
赶快,hurry up,5427
失望,disappointment,5426
无,none,5417
出生,born,5413
酒店,hotel,5411
德国,Germany,5408
上班,work,5393
覺得,feel,5387
要说,To say,5385
造成,cause,5384
破坏,destroy,5383
到达,arrive,5376
间,between,5372
巴黎,Paris,5364
药,medicine,5364
不见,not see,5357
冷,cold,5356
男朋友,Boy friend,5352
想起,Remember,5352
老公,husband,5345
教堂,church,5344
起來,stand up,5343
做好,Do well,5342
盾,shield,5334
就行了,It's okay,5334
拯救,save,5332
祝,wish,5327
字,Character,5327
媽媽,Mother,5324
一句,One sentence,5324
幹,Dry,5320
子弹,bullet,5318
节目,programme,5314
飞,fly,5307
玛丽,Mary,5301
方面,aspect,5293
不敢相信,unbelievable,5290
安娜,Anna,5288
晚餐,dinner,5287
不让,Not allow,5285
越来越,Increasingly,5283
巨大,huge,5277
很漂亮,very beautiful,5277
伦敦,London,5275
啤酒,beer,5273
好看,nice,5268
感情,emotion,5267
自然,nature,5265
汤姆,Tom,5264
一把,One,5260
一步,step,5260
逮捕,arrest,5260
超过,Exceed,5258
時,hour,5248
赶紧,Hurry up,5230
炸弹,bomb,5218
全,Complete,5218
将会,will,5217
主人,Owner,5204
可惜,pity,5202
算是,Be regarded as,5196
上校,Colonel,5188
家族,family,5184
猫,cat,5181
哥们,Buddy,5178
恶心,nausea,5177
陛下,His Majesty,5160
从未,Never,5160
球,ball,5150
彼得,Peter,5144
通常,usually,5143
名,name,5142
只会,Only,5142
撒谎,lie,5141
兴趣,interest,5130
旅行,travel,5117
吹,blow,5116
雷,thunder,5115
没想到,did not expect,5109
比如,for example,5102
人民,people,5097
穿着,Wear,5095
干净,clean,5088
不少,Many,5088
回事,Deepen,5082
提,carry,5081
滚,roll,5075
克,gram,5071
用来,Use,5071
队长,team leader,5065
公平,fair,5064
愉快,joy,5057
不幸,Unlucky,5056
ﻳ,Bleak,5051
选,select,5025
好不好,OK,5024
电脑,computer,5022
火车,train,5021
有意思,interesting,5017
乔,Jaundice,5015
抱,hug,5011
干得,Work hard,5010
说得对,Yes,5001
ﻧ,Bleak,5000
ﺪ,Bleak,4997
爱情,love,4997
还给,Return,4992
加,add,4987
校对,Proofed,4984
一边,One side,4982
宇宙,universe,4973
请问,Excuse me,4964
一點,a little,4964
死去,Die,4963
心情,Feeling,4960
撞,Collide,4952
明显,obvious,4951
不敢,Dare not,4947
找个,Find a,4946
现场,on site,4938
一部分,Part,4937
ﻨ,Bleak,4928
失踪,Missing,4922
未,not yet,4921
毁,destroy,4916
垃圾,Rubbish,4910
十分,very,4907
愛,like,4907
相当,quite,4901
の,No,4900
這兒,here,4897
鱼,fish,4889
接着,then,4886
不可,Not,4877
同,same,4869
健康,healthy,4867
提醒,remind,4866
包,Bag,4865
测试,test,4865
随时,at any time,4854
事儿,thing,4853
遗憾,Pity,4851
犯罪,crime,4845
治疗,treat,4843
狗屎,Shit,4842
這種,This,4835
命,Life,4832
太阳,sun,4831
你别,Don't,4817
习惯,Habit,4815
大卫,David,4798
怪物,monster,4795
靠近,near,4792
反应,reaction,4790
某个,A certain,4789
意见,Opinion,4784
蛋糕,cake,4783
时刻,time,4783
于是,then,4777
床上,Bed,4775
责任,responsibility,4773
充满,full,4769
热,hot,4769
多年,for many years,4767
楷体,Regular,4765
亨利,Henry,4763
心里,Heart,4758
说谎,lie,4756
自,since,4755
见鬼,Ghost,4753
份,share,4749
干吗,What is it?,4749
脚,foot,4744
祈祷,pray,4742
疯子,madman,4737
差点,Almost,4735
我该,I should,4725
好极了,great,4725
说真的,honestly,4723
ﻮ,Bleak,4721
活动,Activity,4715
块,piece,4710
对付,Deal,4708
命运,destiny,4704
醫生,doctor,4698
查,check,4697
罗马,Rome,4691
發生,occur,4691
同志,Gay,4688
臭,Smelly,4683
必須,must,4680
照,According to,4678
服务,Serve,4668
糟,Bad,4662
尊重,respect,4659
关闭,closure,4653
準備,Prepare,4650
期待,expect,4646
号码,Number,4635
资料,material,4627
て,Bleak,4623
机器,machine,4623
读,read,4623
盯,stare,4621
关,close,4612
办,manage,4611
天使,Angel,4608
去过,Go,4608
难过,sad,4604
快點,hurry up,4598
记忆,memory,4594
女士们,Ladies,4591
過來,come over,4590
线索,clue,4590
正好,Exactly,4588
秒,Second,4588
表示,express,4587
脑袋,Head,4583
爷爷,grandfather,4581
探员,Agent,4579
移动,move,4571
错过,miss,4565
旁边,beside,4546
留下来,stay,4542
彼此,each other,4530
社会,society,4527
好事,Good deed,4524
跟踪,track,4521
唔,Well,4517
尼克,Nick,4515
疼,pain,4511
弧,arc,4510
及,and,4509
不断,Constant,4508
た,Bleak,4508
私人,private,4501
嘴,Mouth,4495
上床,Go to bed,4494
好玩,Fun,4493
神父,Priest,4474
周围,around,4472
就让,Give up,4470
自从,since,4459
